Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Trade_PnL,Price_PnL,20d_Price_Vol,Std_PnL
313e_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1999-06-24,1999-06-25,30.53125,30.03125,15651796.875000002,514.0,-264000.0,-0.5,0.6221233139524327,-0.8036991843681811
313e_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1999-07-07,1999-07-08,31.78125,31.53125,17410421.875,549.0,-141625.0,-0.25,0.6429654775049412,-0.38882336415655966
313e_NQ1Ind_1,NASDAQ 100 E-MINI,eq-us,NQ1 Index,1999-07-21,1999-07-27,4929.75,4828.75,38822790.0,394.0,-822520.0,-101.0,34.44289706013036,-2.9323897993735644
313e_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1999-07-26,1999-07-27,31.96875,31.96875,18991328.125,593.0,0.0,0.0,0.5427452150144224,0.0
313e_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1999-07-30,1999-08-02,31.71875,31.40625,20620359.375,650.0,-208312.50000000003,-0.3125,0.4906611409752732,-0.6368957594213649
313e_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1999-08-03,1999-08-04,31.46875,31.15625,21626343.75,689.0,-221375.00000000003,-0.3125,0.4842396882308324,-0.6453415686386992
313e_US1Com_6,US LONG BOND(CBT),fi-us,US1 Comdty,1999-08-11,1999-08-12,30.09375,30.46875,19655453.125,654.0,246675.00000000003,0.375,0.442998808213912,0.8465034059841595
313e_NQ1Ind_2,NASDAQ 100 E-MINI,eq-us,NQ1 Index,1999-08-20,1999-08-25,4864.75,4988.75,37540430.0,386.0,952550.0,124.0,40.41687375602579,3.0680255169788517
313e_US1Com_7,US LONG BOND(CBT),fi-us,US1 Comdty,1999-08-24,1999-08-25,31.53125,32.03125,21790209.375,690.0,349800.0,0.5,0.4872025914664021,1.0262671191774242
313e_NQ1Ind_3,NASDAQ 100 E-MINI,eq-us,NQ1 Index,1999-08-27,1999-09-02,4998.75,4987.25,36920295.0,369.0,-78650.0,-11.5,41.288865263371456,-0.278525455389591
313e_US1Com_8,US LONG BOND(CBT),fi-us,US1 Comdty,1999-09-01,1999-09-02,30.90625,30.78125,17950350.0,581.0,-74937.5,-0.125,0.6209076548001906,-0.20131818159050602
313e_US1Com_9,US LONG BOND(CBT),fi-us,US1 Comdty,1999-09-03,1999-09-07,30.03125,31.28125,18385640.625,597.0,661375.0,1.25,0.6215281861542641,2.011171862911698
313e_NQ1Ind_4,NASDAQ 100 E-MINI,eq-us,NQ1 Index,1999-09-24,1999-09-28,4976.75,4994.75,31151325.0,313.0,116640.0,18.0,49.07555935815496,0.3667813517648457
