,fi-us,eq-us,Total,,,,,,
Total PnL,18502790.625,44910785.0,63413575.625,,,,Settings: ,Settings: ,10122024_2232
Average Ann. PnL,1242393.6151079135,3015592.278177458,4257985.893285371,,,,byac,True,
Average Ann. Vol,1731293.7996010885,2559923.4198033675,3087311.669176702,,,,byassets,False,
Sharpe Ratio (ann.),0.7176099258220509,1.1780009725482694,1.3791888703030928,,,,totalsys,True,
Sortino Ratio (ann.),0.389834063582789,0.6350635674990327,1.0110711202131542,,,,filter_assets,[],
Max drawdown,3022181.25,7158075.0,3934944.375,,,,filter_ac,[],
Average drawdown,1056563.011871989,1303918.4776951673,936634.2692486085,,,,start_date,01012000,
Max drawdown Duration,780.0,761.0,300.0,,,,end_date,,
Avg Drawdown Duration,74.51282051282051,34.935064935064936,25.186915887850468,,,,,,
Total Number of Drawdowns,39.0,77.0,107.0,,,,,,
Drawdowns per year,2.618705035971223,5.170263788968825,7.184652278177459,,,,,,
HWM PnL,18834681.25,45031645.0,63413575.625,,,,,,
Exposure Time,3753.0,3753.0,3753.0,,,,,,
Daily PnL Skew,0.5067929919019234,-0.6301667243318136,-0.3816650916835814,,,,,,
Weekly PnL Skew,-0.0684675224864906,-0.9806405781223605,-0.5994547323670948,,,,,,
Monthly PnL Skew,-0.21813846236137907,-0.7362262559433259,-0.4014849708354444,,,,,,
Quarterly PnL Skew,-0.08663612399411365,-0.6179419176612713,-0.18847396542068084,,,,,,
Yearly PnL Skew,0.3090830111825282,-0.8053783160413067,-0.1770298309340478,,,,,,
Daily Left Tail,18.793477118562176,9.730232435564616,8.621655860117906,,,,,,
Daily Right Tail,-20.922006397222322,-11.728142271511295,-8.734195079676859,,,,,,
Weekly Left Tail,7.290936905923295,4.618156710878017,3.499255597525295,,,,,,
Weekly Right Tail,-5.570155899358438,-4.075142674358069,1.2946353348281008,,,,,,
Monthly Left Tail,1.8051248571192688,1.8809641354916895,1.5174147939991363,,,,,,
Monthly Right Tail,1.1926758950957606,0.980563829849815,0.9286519587550504,,,,,,
Quarterly Left Tail,1.221289651508443,1.676140746606298,1.3259426256970952,,,,,,
Quarterly Right Tail,1.0328028912855098,0.9139019968459385,0.956424303463735,,,,,,
Yearly Left Tail,0.8484569845932719,2.1480111217259363,1.3957761783154925,,,,,,
Yearly Right Tail,1.2112315771272588,0.7248929461003988,1.105745875032395,,,,,,
Num_Trades,,,716.0,,,,,,
Hit Rate (%),,,63.687150837988824,,,,,,
Average Win,,,325499.91228070174,,,,,,
Average Loss,,,-332087.43896484375,,,,,,
W/L ratio,,,0.98016327656151,,,,,,
Total Wins,,,456.0,,,,,,
Total Losses,,,256.0,,,,,,
Total PnL Winners,,,148427960.0,,,,,,
Total PnL Losers,,,-85014384.375,,,,,,
Profit Factor,,,1.7459158363751899,,,,,,
PnL Skew,,,-0.8500958960557538,,,,,,
Trade EV,,,88566.44640363129,,,,,,
Best Trade,,,1238737.5,,,,,,
Worst Trade,,,-1733640.0,,,,,,
25p Trade,,,-119392.81250000001,,,,,,
50p Trade,,,137568.75,,,,,,
75p Trade,,,356889.375,,,,,,
Pareto Number (%),,,10.05586592178771,,,,,,
