Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
1999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2010,-150530.0,425714.3749999999,413988.125,856865.6250000001,-461059.375,-701140.0,1295910.625,-416555.0,1112546.875,-352443.75,762052.5,1175803.75,3961153.75,1.38685539940958,2844923.1386992303,0.6176470588235294,1.5571354629822047,-1917259.375
2011,985039.375,891501.25,482870.0,-271654.375,798000.0,1337576.25,925520.0,-1716267.5,364954.375,710200.0,-45825.0,-162029.375,4299885.0,1.354737437135225,3173961.8926400137,0.5975609756097561,1.5324608172269303,-2387175.0
2012,141006.25,1178469.375,1589695.0,1490728.75,-1314895.0,485626.875,711303.125,277406.25,-484028.75,-309293.75,-185982.5,-796371.25,2783664.375,0.8302575983037542,3339519.8727196287,0.5393258426966292,1.270470458179147,-2710526.25
2013,679215.0,518255.0,-321200.0,1012263.125,-36162.5,720535.625,887766.25,830870.0,450849.375,653023.75,755855.0,21542.5,6172813.125,2.6956529964883913,2289913.847606232,0.7205882352941176,2.423247531635245,-754400.0
2014,1590540.0,40012.5,89155.625,32300.625,-298246.25,674026.25,1780553.75,1290917.5,1149947.5,-469290.0,388196.875,185244.375,6453358.75,2.2347888756976335,2887681.61510803,0.6133333333333333,2.029021747200689,-1368380.0
2015,-1664491.25,-708553.125,439415.625,387174.375,802315.0,561315.625,-533546.875,295716.875,604788.75,495627.5,96463.125,766541.875,1542767.5,0.5172459216752493,2970868.479283776,0.5487804878048781,1.1649833992517549,-2166526.25
2016,-334695.0,843746.25,803845.0,347221.875,-16763.125,168035.0,178956.25,652827.5,677635.0,-35221.875,240119.375,-183356.25,3342350.0,1.0560736857879345,3164883.326778737,0.5303030303030303,1.4511913953230748,-1586909.375
2017,1208377.5,776751.875,337091.875,508823.75,718851.875,622045.0,190815.625,2097431.25,1286275.625,667940.625,52351.25,498120.0,8964876.25,3.1620963609564106,2846400.5713361274,0.6901408450704225,2.8025719175676405,-956809.375
2018,-193452.5,310568.125,344156.875,796726.25,-46703.75,158372.5,477290.625,1434656.875,121378.125,-1834161.25,-83211.875,-123256.875,1362363.125,0.3542307992828706,3845975.9223592714,0.5517241379310345,1.115907320341157,-3026851.875
2019,609237.5,138296.875,1411181.25,174271.25,-1721514.375,484047.5,70205.0,-1733640.0,-785792.5,208103.75,1451645.625,116256.25,422298.125,0.12862079444407917,3283280.334453258,0.5571428571428572,1.0467623917635593,-3934944.375
2020,-45911.875,-710528.75,530220.0,79406.25,588839.375,1529620.0,705030.625,-2051603.125,953363.75,-472245.0,-270277.5,51936.25,887850.0,0.256345720995347,3449797.0476304633,0.6351351351351351,1.089077195470442,-2667128.75
2021,394749.375,1600320.625,632848.75,-56306.25,406460.0,1106542.5,1559861.875,-769789.375,530352.5,-69938.75,732807.5,1020870.625,7088779.375,2.298380796072416,3072058.5971895917,0.6329113924050633,2.0423851607317802,-998990.0
2022,-374231.875,401900.0,823313.125,186088.75,225605.0,-1138304.375,1628465.625,-17822.5,577111.25,722346.875,604102.5,36180.0,3674754.375,1.1821740205135622,3120855.9540790254,0.5578947368421052,1.3885585259800457,-1893718.75
2023,1060189.375,-1011082.5,473225.0,-256860.625,751242.5,119168.75,136324.375,254285.0,485085.0,711445.625,1304565.625,1489048.125,5516636.25,2.121900088950103,2610214.7359909597,0.5857142857142857,1.9382730563981043,-1406453.125
2024,733952.5,1374380.0,677012.5,74596.875,1379696.25,1275606.25,-106885.625,824777.5,-84698.125,-55240.625,478328.125,368500.0,6940025.625,2.4213152875585497,3034822.62893568,0.6086956521739131,2.2375548129213887,-1005565.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,[],[],,,,,,,,,,,,
,10122024_2232,,,,,,,,,,,,,,,,,
