Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
2010,147125.0,-582140.6250000001,14403.125,399265.62500000006,-327834.375,0.0,271940.625,0.0,543571.875,-781893.7500000001,209412.50000000003,588843.7500000001,482693.7499999999,0.3231563238028511,1536361.7030836507,0.5185185185185185,1.167334000667334,-1100825.0
2011,396584.375,239456.25,-86900.0,-93534.375,490600.0,34031.25,958650.0,66137.5,122134.375,419650.0,0.0,-539309.375,2007500.0,1.3475223285554978,1489771.232326798,0.6296296296296297,1.9662635053525042,-539309.375
2012,141006.25,159534.375,-89650.0,553643.75,0.0,123096.875,789078.125,167956.25,-1097318.75,-659243.75,-157162.5,-541406.25,-610465.625,-0.3268840755618909,1860147.8715232736,0.41935483870967744,0.8595549158547388,-2455131.25
2013,222200.0,0.0,-627000.0,541303.125,-36162.5,-129559.375,660481.25,0.0,-131690.625,12718.75,578050.0,122787.5,1213128.125,0.9081458605723708,1335829.6036667617,0.68,1.5924091855234002,-670484.375
2014,0.0,40012.5,-190059.375,-720534.375,-317831.25,-380943.75,893543.75,685987.5,494037.5,-575025.0,388196.875,116084.375,433468.75,0.26755443525711486,1620114.2379996227,0.5384615384615384,1.1334405655086297,-1820190.625
2015,111718.75,-1170778.125,206215.625,128734.375,297275.0,326115.625,262453.125,-55653.125,416693.75,96387.5,178303.125,582896.875,1380362.5,1.0963659910321701,1254057.9815365572,0.64,1.743670944682112,-1295525.0
2016,0.0,1351006.25,291225.0,347221.875,310096.875,1297725.0,178956.25,354062.5,0.0,-296071.875,-556290.625,-368156.25,2909775.0,1.4230477499778598,2044748.6741363893,0.6190476190476191,2.2751841641433543,-1220518.75
2017,687362.5,133546.875,51321.875,677943.75,179746.875,0.0,190815.625,670931.25,1234990.625,667940.625,-633118.75,-97900.0,3763581.25,1.9288434390848779,1958985.120846445,0.7027027027027027,2.2961371358217613,-888868.75
2018,-1081712.5,446703.125,-96903.125,102506.25,-154068.75,-222887.5,469940.625,854321.875,121378.125,217593.75,-450621.875,746728.125,952978.125,0.4322505515355213,2204689.205403331,0.5454545454545454,1.202904172552349,-1193809.375
2019,61187.5,-167303.125,1015781.25,275481.25,-42384.375,508612.5,-281325.0,0.0,-60362.5,14093.75,117115.625,116256.25,1557153.125,1.2110637995106448,1285772.992000256,0.5483870967741935,1.7958642257282407,-595615.625
2020,888078.125,394006.25,381150.0,79406.25,210409.375,-321200.0,490840.625,-2051603.125,273693.75,649000.0,-549037.5,-225293.75,219450.0,0.11515472070325021,1898164.5507953784,0.6129032258064516,1.053315516953399,-2051603.125
2021,50909.375,1021590.625,-132481.25,-56306.25,0.0,497887.5,878521.875,-1167684.375,-151937.5,-818743.75,495137.5,-194734.375,422159.375,0.23313466322591467,1803638.9572068772,0.5,1.1011981278222749,-2138365.625
2022,292428.125,455400.0,264653.125,-246881.25,0.0,-401809.375,576365.625,-55687.5,720706.25,-751128.125,94737.5,327800.0,1276584.375,0.7395174324008623,1733117.1820587388,0.5862068965517241,1.3951585443711427,-887803.125
2023,594034.375,-1259912.5,155925.0,97934.375,218762.5,35543.75,-214465.625,-710600.0,160875.0,422640.625,1304565.625,898803.125,1704106.25,0.8939780779679857,1913800.3046083152,0.625,1.4763341468570441,-1823353.125
2024,183837.5,-23925.0,293012.5,217146.875,-10518.75,-229693.75,-751815.625,308962.5,11721.875,-55240.625,478328.125,368500.0,790315.625,0.4928055848590143,1698042.4027685572,0.5625,1.2411095380420534,-1882993.75
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['WN1 Comdty'],[],,,,,,,,,,,,
,10122024_2232,,,,,,,,,,,,,,,,,
